"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
780334;"107";"03";"Uppsala";"0380";"Uppsala";809;"T0662";"Ytternäs och Vreta";59,7713151774149;17,6003202439501;646014,944399097;6628807,10724027
780335;"806";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7677540520429;18,0412069121473;670779,464507758;6629464,29778988
780336;"102";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7677085379548;17,7691308612562;655507,358268746;6628789,59959183
780338;"107";"03";"Uppsala";"0380";"Uppsala";809;"T0662";"Ytternäs och Vreta";59,7773172286928;17,6045774965704;646227,660538613;6629484,56341022
780341;"804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7782798677612;17,4042414424699;634979,785853738;6629166,77577528
780343;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,772611921757;17,8555387838869;660334,337102724;6629541,19296511
780344;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,77806557495;17,53472879411;642304,268652332;6629415,84076123
780345;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7751526354991;17,8480557895901;659902,193826765;6629805,88739161
780346;"806";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7724676513552;18,042821897085;670846,019937876;6629993,01918368
780347;"102";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7766990741565;17,7785264292262;655992,825414897;6629812,31813948
780348;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7807659106237;17,5300960770312;642032,786451744;6629706,4797318
780349;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7775004879353;17,8431419813027;659615,209918321;6630055,35060882
780350;"107";"03";"Uppsala";"0380";"Uppsala";809;"T0662";"Ytternäs och Vreta";59,7805647019317;17,6041111683503;646187,282818881;6629845,00197731
780351;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,783396250531;17,418287471985;635747,348785762;6629764,99105844
780352;"101";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7805319567664;17,6639433787418;649545,055806957;6629974,83311488
780353;"107";"03";"Uppsala";"0380";"Uppsala";809;"T0662";"Ytternäs och Vreta";59,7820735052542;17,6001320267741;645957,390850793;6630004,17373809
780357;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7811856151956;17,8394129777228;659388,369211909;6630456,51820321
780359;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7867227404745;17,5406800932909;642601,328967331;6630392,26116308
780361;"102";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7846315962637;17,7871875712113;656441,751551281;6630715,61499828
780362;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7895818950721;17,432140544102;636499,469708919;6630481,99506787
780365;"806";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7823217809651;18,0383697815945;670545,865021323;6631078,1849631
780367;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7921394179468;17,4373060960684;636778,818617644;6630777,33364182
780368;"102";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7826263557961;17,7861960198984;656395,504300213;6630490,09357057
780371;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7965200878287;17,4438444680755;637127,648890426;6631278,47577087
780372;"102";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7927857158083;17,7858896525548;656330,765063992;6631620,09856003
780373;"102, 186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,794698539257;17,7882478560023;656454,08382825;6631838,55927456
780374;"109, 109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8016457305123;17,3769042853193;633352,148682583;6631712,4411974
780376;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7967153219471;17,8373116143119;659196,431567374;6632179,87203872
780379;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7980362103322;17,8167942762001;658039,449340453;6632277,77337598
780380;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8028925390413;17,4511775799829;637512,752944965;6632003,01408364
780381;"102, 186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7991852988689;17,7776627338199;655839,422756372;6632312,99161493
780382;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,8005547201099;17,8123841737157;657780,212855791;6632547,56929787
780383;"186";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,8016880893431;17,8075339742479;657502,868504555;6632662,17293731
780384;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8060890043369;17,5303698160361;641940,496941875;6632525,79473895
780385;"109, 109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8092227245824;17,3806647347946;633532,754146382;6632563,46144343
780386;"102, 186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8030244950173;17,7701018908334;655397,51970526;6632722,53791265
780387;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8064425561547;17,4573224216325;637842,721045632;6632410,94653944
780388;"806";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,7937872861571;18,0373721902448;670431,38688143;6632351,57821298
780390;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8118882363942;17,3844798805342;633736,006911849;6632867,87163641
780391;"102, 186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8078246446848;17,7564467412594;654609,551622673;6633224,85453934
780393;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8156082632407;17,3432478036118;631409,458957522;6633199,48594665
780394;"108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8145668463156;17,4808078363704;639125,856362525;6633364,36955045
780395;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8162927914458;17,3667020975963;632721,686542774;6633322,43136304
780397;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8191024321098;17,3307337565344;630694,177250747;6633563,70305674
780398;"109";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8185968943001;17,3910009114383;634074,686743519;6633627,83544214
780399;"108, 108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8185673023903;17,49093840423;639677,065451361;6633830,9842839
780402;"806";"03";"Uppsala";"0330";"Knivsta";NA;NA;NA;59,8188690440505;18,0446124322295;670709,137031325;6635161,48800789
